,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
9,0,4.0,4.0,5.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
10,0,4.0,6.0,9.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
11,0,4.0,1.0,3.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
12,0,4.0,5.0,2.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
13,0,4.0,19.0,7.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
14,0,1.0,15.0,19.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
15,0,4.0,7.0,8.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
16,0,4.0,2.0,4.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
17,0,4.0,20.0,11.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
18,1,1.0,16.0,20.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
19,0,1.0,11.0,16.0,2,2019,26.3,53.6,1003.7,0,29.4,3.0
0,1,4.0,1.0,2.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
1,1,4.0,2.0,1.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
2,1,4.0,3.0,3.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
3,1,4.0,4.0,5.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
4,1,4.0,5.0,4.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
5,0,4.0,6.0,6.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
6,0,4.0,7.0,7.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
7,1,1.0,8.0,12.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
8,1,1.0,9.0,13.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
9,0,1.0,10.0,0.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
10,0,4.0,11.0,10.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
11,1,1.0,12.0,16.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
12,0,4.0,13.0,9.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
13,1,1.0,14.0,14.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
14,0,1.0,15.0,19.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
15,1,1.0,16.0,17.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
16,1,1.0,17.0,18.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
17,1,1.0,18.0,15.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
18,1,1.0,19.0,11.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
19,0,4.0,20.0,8.0,3,2019,19.5,43.9,1019.3,0,30.6,2.1
0,1,1.0,17.0,0.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
1,0,4.0,6.0,5.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
2,1,1.0,5.0,8.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
3,0,1.0,9.0,13.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
4,0,4.0,13.0,12.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
5,0,1.0,11.0,11.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
6,0,6.0,19.0,6.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
7,0,1.0,14.0,15.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
8,0,1.0,20.0,10.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
9,0,5.0,4.0,4.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
10,0,6.0,8.0,7.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
11,0,5.0,2.0,2.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
12,0,6.0,3.0,3.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
13,0,1.0,7.0,9.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
14,1,1.0,15.0,16.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
15,0,4.0,10.0,0.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
16,0,4.0,1.0,1.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
17,1,1.0,18.0,14.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
18,1,1.0,16.0,0.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
19,0,4.0,12.0,17.0,4,2019,19.9,50.1,1014.0,0,43.3,1.4
0,0,4.0,6.0,6.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
1,0,1.0,15.0,15.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
2,0,4.0,5.0,5.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
3,1,1.0,19.0,16.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
4,0,4.0,7.0,8.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
5,0,1.0,11.0,11.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
6,0,4.0,9.0,9.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
7,1,1.0,13.0,0.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
8,0,4.0,12.0,13.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
9,0,4.0,3.0,4.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
10,0,1.0,20.0,10.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
11,0,4.0,1.0,2.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
12,0,4.0,4.0,3.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
13,0,1.0,8.0,12.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
14,1,1.0,17.0,19.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
15,1,1.0,14.0,14.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
16,0,4.0,2.0,1.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
17,0,4.0,10.0,7.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
18,1,1.0,18.0,17.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
19,0,1.0,16.0,18.0,5,2019,20.4,55.1,1007.1,0,42.0,1.3
0,0,6.0,1.0,1.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
1,0,4.0,2.0,4.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
2,0,6.0,3.0,2.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
3,0,4.0,4.0,3.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
4,0,5.0,5.0,8.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
5,0,6.0,6.0,9.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
6,0,6.0,7.0,7.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
7,0,6.0,8.0,10.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
8,0,6.0,9.0,6.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
9,0,1.0,10.0,13.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
10,1,1.0,11.0,12.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
11,1,1.0,12.0,16.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
12,1,1.0,13.0,11.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
13,0,6.0,14.0,5.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
14,1,1.0,15.0,19.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
15,1,1.0,16.0,17.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
16,0,1.0,17.0,14.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
17,1,1.0,18.0,20.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
18,0,1.0,19.0,18.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
19,1,1.0,20.0,15.0,6,2019,22.6,50.3,1011.2,0,35.2,0.6
0,0,4.0,8.0,5.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
1,1,1.0,12.0,15.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
2,1,6.0,3.0,3.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
3,2,1.0,9.0,17.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
4,2,1.0,17.0,0.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
5,1,1.0,19.0,13.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
6,1,1.0,10.0,10.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
7,0,4.0,7.0,7.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
8,0,4.0,6.0,4.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
9,2,1.0,5.0,9.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
10,0,4.0,20.0,8.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
11,1,4.0,1.0,2.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
12,1,6.0,2.0,1.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
13,0,4.0,11.0,11.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
14,1,1.0,16.0,18.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
15,1,1.0,15.0,16.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
16,1,4.0,4.0,6.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
17,1,1.0,14.0,14.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
18,1,1.0,18.0,19.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
19,2,1.0,13.0,12.0,7,2019,28.3,16.9,1022.7,0,51.7,0.6
0,1,5.0,1.0,1.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
1,1,6.0,2.0,2.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
2,1,4.0,3.0,3.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
3,1,6.0,4.0,4.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
4,1,4.0,5.0,7.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
5,1,6.0,6.0,6.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
6,2,1.0,7.0,12.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
7,2,1.0,8.0,13.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
8,1,6.0,9.0,5.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
9,0,4.0,10.0,9.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
10,1,5.0,11.0,8.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
11,1,1.0,12.0,14.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
12,2,1.0,13.0,17.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
13,2,1.0,14.0,19.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
14,1,1.0,15.0,11.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
15,0,4.0,16.0,10.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
16,1,1.0,17.0,15.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
17,1,1.0,18.0,18.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
18,1,1.0,19.0,20.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
19,2,1.0,20.0,16.0,8,2019,25.8,41.7,967.0,0,51.9,2.8
0,1,4.0,1.0,2.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
1,0,4.0,2.0,1.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
2,1,4.0,3.0,3.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
3,0,4.0,4.0,9.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
4,1,5.0,5.0,4.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
5,0,4.0,6.0,5.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
6,0,4.0,7.0,8.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
7,1,1.0,8.0,19.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
8,0,4.0,9.0,6.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
9,0,4.0,10.0,7.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
10,1,1.0,11.0,13.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
11,1,1.0,12.0,12.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
12,1,1.0,13.0,15.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
13,1,1.0,14.0,14.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
14,1,1.0,15.0,18.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
15,1,1.0,16.0,11.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
16,1,1.0,17.0,16.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
17,1,1.0,18.0,0.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
18,0,4.0,19.0,10.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
19,1,1.0,20.0,17.0,9,2019,33.3,21.2,941.3,0,51.4,1.8
0,1,6.0,4.0,5.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
1,1,1.0,17.0,15.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
2,0,4.0,3.0,3.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
3,1,1.0,13.0,18.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
4,0,1.0,20.0,16.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
5,0,6.0,12.0,9.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
6,0,1.0,9.0,17.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
7,0,4.0,10.0,10.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
8,0,4.0,7.0,7.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
9,1,6.0,5.0,4.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
10,0,4.0,11.0,8.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
11,1,5.0,1.0,2.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
12,0,4.0,16.0,6.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
13,1,1.0,6.0,13.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
14,1,1.0,14.0,19.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
15,1,1.0,8.0,12.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
16,1,6.0,2.0,1.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
17,0,1.0,19.0,14.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
18,1,1.0,15.0,20.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
19,1,1.0,18.0,11.0,10,2019,17.9,67.6,1006.5,0,27.8,1.3
0,4,1.0,14.0,4.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
1,4,1.0,20.0,8.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
2,4,1.0,17.0,10.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
3,4,1.0,4.0,15.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
4,4,1.0,8.0,12.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
5,4,1.0,6.0,16.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
6,4,1.0,3.0,14.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
7,4,1.0,16.0,9.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
8,4,1.0,19.0,13.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
9,4,1.0,1.0,2.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
10,4,1.0,18.0,19.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
11,4,1.0,9.0,1.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
12,4,1.0,2.0,20.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
13,4,1.0,5.0,7.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
14,4,1.0,11.0,17.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
15,4,1.0,12.0,5.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
16,4,1.0,15.0,3.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
17,4,1.0,7.0,6.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
18,4,1.0,10.0,18.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
19,4,1.0,13.0,11.0,11,2019,21.0,87.9,991.1,1,26.4,0.8
0,1,4.0,1.0,3.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
1,1,4.0,2.0,1.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
2,1,4.0,3.0,5.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
3,1,4.0,4.0,4.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
4,0,4.0,5.0,8.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
5,1,4.0,6.0,6.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
6,0,4.0,7.0,10.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
7,1,4.0,8.0,2.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
8,0,4.0,9.0,7.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
9,1,1.0,10.0,12.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
10,1,1.0,11.0,16.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
11,1,1.0,12.0,11.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
12,1,1.0,13.0,14.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
13,2,1.0,14.0,20.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
14,1,1.0,15.0,13.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
15,1,1.0,16.0,15.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
16,1,1.0,17.0,18.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
17,1,1.0,18.0,17.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
18,1,1.0,19.0,19.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
19,0,4.0,20.0,9.0,12,2019,25.1,35.9,986.8,0,43.0,2.1
0,0,1.0,9.0,13.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
1,0,4.0,6.0,7.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
2,0,4.0,1.0,1.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
3,0,1.0,10.0,16.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
4,0,4.0,12.0,8.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
5,1,1.0,5.0,17.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
6,1,1.0,7.0,19.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
7,0,4.0,8.0,12.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
8,0,4.0,14.0,10.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
9,0,4.0,20.0,5.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
10,0,1.0,11.0,11.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
11,0,6.0,2.0,3.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
12,0,4.0,4.0,2.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
13,0,1.0,19.0,15.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
14,1,1.0,15.0,14.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
15,0,4.0,16.0,6.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
16,0,6.0,3.0,4.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
17,0,1.0,13.0,9.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
18,1,1.0,17.0,0.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
19,1,1.0,18.0,18.0,13,2019,16.8,60.0,968.3,0,27.1,1.9
0,1,1.0,11.0,17.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
1,1,1.0,7.0,18.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
2,0,4.0,1.0,1.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
3,0,4.0,12.0,9.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
4,0,1.0,18.0,11.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
5,0,4.0,6.0,8.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
6,1,1.0,19.0,12.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
7,0,4.0,5.0,6.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
8,0,4.0,4.0,5.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
9,1,1.0,8.0,19.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
10,1,1.0,10.0,16.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
11,0,4.0,3.0,2.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
12,0,5.0,13.0,4.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
13,0,4.0,20.0,7.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
14,1,1.0,14.0,14.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
15,1,1.0,15.0,0.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
16,0,4.0,2.0,3.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
17,0,1.0,16.0,13.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
18,1,1.0,17.0,15.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
19,0,1.0,9.0,10.0,14,2019,19.7,58.2,989.6,0,32.8,0.0
0,2,1.0,8.0,11.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
1,1,1.0,19.0,15.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
2,0,4.0,2.0,1.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
3,1,1.0,13.0,16.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
4,1,1.0,17.0,13.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
5,0,4.0,6.0,6.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
6,1,1.0,15.0,14.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
7,0,4.0,9.0,8.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
8,1,1.0,14.0,20.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
9,0,4.0,3.0,4.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
10,0,4.0,7.0,9.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
11,0,4.0,4.0,2.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
12,0,4.0,1.0,3.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
13,0,4.0,12.0,7.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
14,1,1.0,20.0,18.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
15,1,1.0,18.0,12.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
16,0,4.0,5.0,5.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
17,1,1.0,11.0,17.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
18,1,1.0,16.0,19.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
19,1,1.0,10.0,10.0,15,2019,30.0,70.7,1009.7,0,37.3,2.9
0,1,4.0,1.0,2.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
1,1,4.0,2.0,4.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
2,0,4.0,3.0,1.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
3,0,4.0,4.0,9.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
4,1,1.0,5.0,0.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
5,0,4.0,6.0,5.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
6,0,1.0,7.0,11.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
7,0,4.0,8.0,7.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
8,0,1.0,9.0,13.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
9,0,4.0,10.0,6.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
10,1,1.0,11.0,14.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
11,2,1.0,12.0,19.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
12,1,1.0,13.0,15.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
13,1,1.0,14.0,16.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
14,0,1.0,15.0,12.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
15,1,1.0,16.0,18.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
16,1,1.0,17.0,17.0,16,2019,22.0,66.7,1017.1,0,33.9,3.2
